run_id,description,length_set,shape,test_roc_auc_A,test_roc_auc_B,test_pr_auc_A,test_pr_auc_B,val_roc_auc_A,val_roc_auc_B,val_pr_auc_A,val_pr_auc_B,test_roc_auc_mean,test_pr_auc_mean,val_roc_auc_mean,val_pr_auc_mean,test_roc_auc_std,test_pr_auc_std,val_roc_auc_std,val_pr_auc_std
A4_event50,A4 event windows last50,A4,event50,0.7310852703174392,0.7387315296230996,0.3475283856530909,0.3410163750588597,0.738435095284482,0.7470807584397985,0.3418773690870759,0.3539493350979222,0.7349083999702695,0.3442723803559753,0.7427579268621403,0.3479133520924991,0.005406721805743193,0.004604686850339544,0.006113407044978946,0.008536169028522923
A3_event50,A3 event windows last50,A3,event50,0.7319083062532468,0.7362104945263526,0.3478365926619729,0.3387151472257751,0.7383817026699259,0.7451448492334296,0.3427854771880644,0.3520989154722295,0.7340594003897997,0.34327586994387405,0.7417632759516777,0.34744219633014695,0.003042106501854354,0.0064498359221585744,0.00478226679721203,0.006585595366895537
A3_trailing,"A3 trailing windows (1, 6, 24, 48, 168)",A3,trailing,0.7301742507296466,0.7376967433430182,0.3457703035581748,0.3404261012459713,0.7365500889000247,0.7472098426493734,0.3402449912160634,0.3552208877761801,0.7339354970363323,0.343098202402073,0.7418799657746991,0.3477329394961217,0.005319205538340788,0.003778921694991906,0.007537584161943183,0.010589558012006842
A4_trailing,"A4 trailing windows (1, 2, 4, 8, 16, 24, 48, 96, 168)",A4,trailing,0.7309933680417287,0.7361521524018017,0.3492346090657321,0.338392476476112,0.7373967963661513,0.746122764152291,0.3413934441205707,0.3525874112539715,0.7335727602217652,0.343813542770922,0.7417597802592211,0.3469904276872711,0.003647811403686682,0.0076665454766440405,0.0061701909939947544,0.007915330068407056
A4_gap1,"A4 gap g=1 windows (1, 2, 4, 8, 16, 24, 48, 96, 168)",A4,gap1,0.7303012301160061,0.736825211351646,0.3472112707656465,0.3384617168702685,0.7368164566973683,0.7449164595584981,0.3394146214907546,0.3519227331183996,0.7335632207338261,0.3428364938179575,0.7408664581279332,0.34566867730457707,0.004613151372054771,0.0061868688917789665,0.005727566950735299,0.00884457055174613
A2_event50,A2 event windows last50,A2,event50,0.7306142099579338,0.7363987965685963,0.3476652179424211,0.3385235511709534,0.737267693439821,0.743753100723574,0.3407676953146409,0.3501684033249818,0.733506503263265,0.3430943845566873,0.7405103970816975,0.34546804931981134,0.004090320418760361,0.006464134565452574,0.004585875469098388,0.0066473043820667295
A4_calendar,"A4 calendar windows on trailing (1, 2, 4, 8, 16, 24, 48, 96, 168)",A4,calendar,0.7320890852912113,0.7346985718906063,0.3497256324396832,0.3376970951520821,0.7383009838337817,0.7455079380992823,0.3413974160751432,0.3521749603332246,0.7333938285909087,0.34371136379588263,0.741904460966532,0.3467861882041839,0.0018451856698476479,0.00850546028381793,0.005096086232836795,0.007620874629427508
A3_calendar,"A3 calendar windows on trailing (1, 6, 24, 48, 168)",A3,calendar,0.729931429205853,0.7363509025543089,0.3456144679500011,0.3389707943865719,0.7368104782845701,0.747001276204458,0.341447582992613,0.3544413551945136,0.7331411658800809,0.3422926311682865,0.7419058772445141,0.3479444690935633,0.004539253136339507,0.004697786628690588,0.007205982314854469,0.009187984437157147
A3_bucket,"A3 bucket edges (1, 6, 24, 48, 168)",A3,bucket,0.7309478112243477,0.7344898970596857,0.3458886250685026,0.3354685378304651,0.7356557901890142,0.7437985912638738,0.3398696928227115,0.3488514792132041,0.7327188541420167,0.3406785814494838,0.739727190726444,0.3443605860179578,0.002504632913712351,0.0073681143465716996,0.005757829857886368,0.006351082063886323
A1_event50,A1 event windows last50,A1,event50,0.7271313748818063,0.7359922593666397,0.3385029084048253,0.3379854163901488,0.7332573125546283,0.7436570808385559,0.3353667009905394,0.3487232133954044,0.7315618171242231,0.338244162397487,0.738457196696592,0.3420449571929719,0.006265591506536293,0.0003659221127876152,0.007353746676333976,0.009444480494482295
A4_bucket,"A4 bucket edges (1, 2, 4, 8, 16, 24, 48, 96, 168)",A4,bucket,0.7293875639720956,0.7324680671291084,0.3440315992876224,0.3333154780211527,0.7349025050447671,0.7412271698809383,0.3385573068089976,0.3450375916125933,0.730927815550602,0.33867353865438754,0.7380648374628527,0.34179744921079547,0.0021782446717902824,0.0075774420155381005,0.004472213394388777,0.004582253328642629
A3_gap1,"A3 gap g=1 windows (1, 6, 24, 48, 168)",A3,gap1,0.7284170829052139,0.7331181874478732,0.3416862992474554,0.3339962306849454,0.7336953480379196,0.7436895346899391,0.3383439893737647,0.3466468322020186,0.7307676351765435,0.33784126496620037,0.7386924413639293,0.34249541078789164,0.0033241829011812474,0.00543769962834031,0.007066957154087152,0.005870996466984416
A1_calendar,"A1 calendar windows on trailing (1, 6, 24)",A1,calendar,0.7268110309769971,0.7323078636270158,0.3439919768508351,0.3359017787206961,0.7323059802986922,0.7393413990420867,0.3367588121569201,0.3465928263603391,0.7295594473020064,0.3399468777857656,0.7358236896703895,0.3416758192586296,0.0038868476418759306,0.005720633958964017,0.0049747923019412095,0.0069536981295224036
