run_id,fold_id,run_dir,baseline_run_id,baseline_run_dir,split,delta_roc_auc,delta_roc_ci_low,delta_roc_ci_high,delta_roc_p_value,delta_pr_auc,delta_pr_ci_low,delta_pr_ci_high
A4_trailing,A,/home/mykola/repos/kaggle_clicks/runs/20251221_070343_paper_full_grid_10pct_A4_trailing_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0027062374678331613,-0.003099426626593323,-0.0023130483090729997,0.0,-0.003615582568481649,-0.00473838429897698,-0.002427473161760727
A4_gap1,A,/home/mykola/repos/kaggle_clicks/runs/20251221_183006_paper_full_grid_10pct_A4_gap1_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0031896259420122197,-0.003601621947454737,-0.0027776299365697026,0.0,-0.005677456330996324,-0.007479138297198612,-0.0037387616883481642
A4_bucket,A,/home/mykola/repos/kaggle_clicks/runs/20251221_183007_paper_full_grid_10pct_A4_bucket_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0018545139223428153,-0.002249860165726151,-0.0014591676789594797,0.0,-0.003033577942430239,-0.004280220741365794,-0.001923856633618616
A4_calendar,A,/home/mykola/repos/kaggle_clicks/runs/20251221_184655_paper_full_grid_10pct_A4_calendar_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.000988221031830272,-0.0012829344472833088,-0.0006935076163772353,4.962008581799182e-11,-0.0014898697171027008,-0.0022477236507168776,-0.0006930519432166228
A4_event50,A,/home/mykola/repos/kaggle_clicks/runs/20251221_190253_paper_full_grid_10pct_A4_event50_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0007979900548524821,-0.001094888160137796,-0.0005010919495671681,1.379875724794033e-07,-0.0017241111047866966,-0.0027042632337817814,-0.0009158848064389307
A1_trailing,B,/home/mykola/repos/kaggle_clicks/runs/20251221_035729_paper_full_grid_10pct_A1_trailing_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.0008963784185299639,-0.001276088583298766,-0.0005166682537611619,3.712340896688815e-06,0.00016246453591155035,-0.0010724216220145035,0.001398140922233343
A1_gap1,B,/home/mykola/repos/kaggle_clicks/runs/20251221_040732_paper_full_grid_10pct_A1_gap1_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.0023488176212942413,-0.0027930373695278844,-0.0019045978730605985,0.0,-0.0006780277964423509,-0.002829618661622711,0.0013711000125200142
A1_bucket,B,/home/mykola/repos/kaggle_clicks/runs/20251221_041803_paper_full_grid_10pct_A1_bucket_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.0013656725506325795,-0.0017669209990466457,-0.0009644241022185134,2.5432100869693386e-11,-0.0014641240561349411,-0.00297305323762006,0.0001259045203438587
A1_calendar,B,/home/mykola/repos/kaggle_clicks/runs/20251221_042913_paper_full_grid_10pct_A1_calendar_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.00017280689591792076,-0.0005341735625263504,0.00018855977069050884,0.3486237368518965,0.0009267360202637539,-0.0002658503543954415,0.002209428750124648
A1_event50,B,/home/mykola/repos/kaggle_clicks/runs/20251221_044119_paper_full_grid_10pct_A1_event50_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,0.00020054270043001754,-0.0001775934162569609,0.000578678817116996,0.2985919553822076,0.0013009061552914452,0.00044316694679218116,0.0021782956393608098
